106162,"Acción Social","Organismo Público","Nuestra Señora del Buen Viaje",968,,,,"Bahía Blanca",Morón,"Buenos Aires",Argentina,1,,,-34.651703,-58.6222108,1,1,SI,NO,NO,NO,NO,NO,NO,"(011) 4489-7860",,,"Referente: Patricia Ramos Y Lucas Jaime",,,,,,,,,,,"2 Dispensers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106172,"Acción Social","Organismo Público",Alcorta,340,,,,Morón,Moreno,"Buenos Aires",Argentina,1,,,-34.6590557,-58.7599379,1,0.9,SI,NO,NO,NO,NO,NO,NO,"(0237) 4667788",,"Lunes a Viernes de 8:00 a 18:00 hs.",,,,"2 Dispensers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106182,"Administración Nacional De Laboratorios E Institut","Organismo Público",Monteagudo,2510,,,Pergamino,Pergamino,Pergamino,"Buenos Aires",Argentina,1,,,-33.9112035,-60.5885537,1,1,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(02477) 433044",asalas@anlis.gov.ar,,"Adriana Salas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106192,Adonis,Privado,"Carolina Martínez",,,,"Bahía Blanca","Bahía Blanca","Bahía Blanca","Buenos Aires",Argentina,1,,,-38.7183177,-62.2663478,1,0.5,SI,NO,NO,NO,NO,NO,NO,,,,"Carolina Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106202,"Agrupación Aviación","Organización Social","Ruta  8","Puerta 4",,,"Bella Vista","Bella Vista","San Miguel","Buenos Aires",Argentina,1,,,-34.5637055,-58.6903973,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 1534146060",grachel100983@gmail.com,,"Leiva Graciela Beatriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106222,"Amas Asociación Mutual De Accion Solidaria","Organización Social",Esturla,,,Zarate,Avellaneda,Sarandí,Avellaneda,"Buenos Aires",Argentina,1,,,-34.6800934,-58.3317247,1,0.5,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106242,"Asociacion Civil America Morena","Organización Social",Doyhennard,815,,,Lavallol,Lavallol,"Lomas De Zamora","Buenos Aires",Argentina,1,,,-34.8058136,-58.4218065,1,0.9,SI,NO,NO,NO,NO,NO,NO,"(011) 4231-8202/4298-0206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106252,"Asociación Civil Lazos","Organización Social",,,,,"Barrio Villa Zapiola","Barrio Villa Zapiola",Moreno,"Buenos Aires",Argentina,-1,,,-35.04999919999999,-59.04999919999999,,0.5,SI,NO,NO,NO,NO,NO,NO,"(011) 50953916",,,"Referente: Esther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106262,"Asociación Decidir","Organización Social","A. Alcorta",2442,,,"Moreno Sur","Moreno Sur",Moreno,"Buenos Aires",Argentina,1,,,-34.6585187,-58.7807537,1,0.7,SI,NO,NO,NO,NO,NO,NO,"(011) 15 51131769",,"Lunes de 17:30 a 20:00, Martes 15:00 a 18:00 y Jueves 18:30 a 21:00 hs.","Contacto: Licenciada Teodori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106272,"Atta / Inadi","Organismo Público",Corrientes,301,,,"Bahía Blanca","Bahía Blanca","Bahía Blanca","Buenos Aires",Argentina,1,,,-38.7154808,-62.2563948,1,0.9,SI,NO,NO,NO,NO,NO,NO,"(0291) 453-0332",,"16 A 18 HS","Patricia Giménez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
