176892,"Centro de Salud Colonia San Joaquin","Centro de salud público","Ruta N° 1","Km 130",,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-30.7166691,-59.9833298,1,0.5,SI,NO,SI,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176902,"Centro de Salud Colonia Silva","Centro de salud público","Zona Urbana",,,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-30.44769,-60.42961,1,0.5,NO,NO,SI,NO,NO,NO,NO,"(03498) 480591",,,,,,,,,,,,,,"(03498) 480591",,,"Dr Diaz Roberto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176922,"Centro de Salud Consultorio Periferico Movil",,"Lisandro de La Torre",687,,,,Rafaela,Castellanos,"Santa Fe",Argentina,-1,,,-31.2446835,-61.5007977,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra. Maria Belen Mendez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176932,"Centro de Salud Coronel Dominguez","Centro de salud público",Domínguez,370,,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-33.1835709,-60.7214443,1,0.5,SI,NO,SI,NO,NO,SI,NO,"(03402) 49-3138",,,,,,,,,,,,,,"(03402) 49-3138",dominguezsalud@hotmail.com,,"Dr. Gustavo Carlos Anderson",,,,,,,,,,,,,,,,,,"(03402) 49-3138",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176942,"Centro de Salud Correa","Centro de salud público",Rivadavia,1366,,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-32.5834659,-60.857389,1,0.7,SI,NO,SI,NO,NO,SI,NO,"(03471) 49-2251",,,,,,,,,,,,,,"(03471) 49-2251",samcocorrea@hotmail.com,,"Dr. Capra Osvaldo",,,,,,,,,,,,,,,,,,"(03471) 49-2251",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176972,"Centro de Salud Desvio Arijon",,"Av. José Arijón º",,,,,"Desvio Arijon","San Jerónimo","Santa Fe",Argentina,-1,,,-31.6106578,-60.697294,1,0.5,NO,NO,SI,NO,NO,NO,NO,0342-4910565,,,,,,,,,,,,,,0342-4910565,,,"Dra. Humbert, Fabiana",,,,,,,,,,,,,,,,,,0342-4910565,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176982,"Centro de Salud Distrito Noroeste","Centro de salud público","Provincias Unidas 150 Bis",,,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-32.9155505,-60.7136274,1,1,NO,NO,SI,NO,NO,NO,NO,"(0341) 480-7680 int. 375/376/377",,,,,,,,,,,,,,"(0341) 480-7680 int. 375/376/377",,,"Dr. Lopez Gonzalo",,,,,,,,,,,,,,,,,,"(0341) 480-7680 int. 375/376/377",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
176992,"Centro de Salud Don Segundo Pillado",,"Gral. Paz",258,,,,"Capitan Bermudez","San Lorenzo","Santa Fe",Argentina,-1,,,-32.831944,-60.7168624,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0341) 491-3996",,,"Dra. Cirilo Patricia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
177002,"Centro de Salud Doña Margarita Barrio Areneras","Centro de salud público","Pje Bouchard",1055,,,,"Pavón Arriba","Villa Constitucion","Santa Fe",Argentina,1,,,-31.7721975,-60.8362426,1,0.5,SI,NO,SI,NO,NO,SI,NO,"(0342) 155119974",,,,,,,,,,,,,,"(0342) 155119974",,,"Dr José María Maciel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
177012,"Centro de Salud Dr Abel E Faust",,Maipú,767,,,,Funes,Rosario,"Santa Fe",Argentina,-1,,,-32.9138816,-60.7978933,1,1,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0341) 493-6555",,,"Lic. Delido Analía",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
